"name","overallRating","responseRate","responseTime","revBased","numProierties","url","location","pID"
"SUPER AFFORDABLE 2 BEDROOM 1 BATH COTTAGE IN CHATHAM","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-vacation-rentals/p2376160/","SUPER AFFORDABLE 2 BEDROOM 1 BATH COTTAGE IN CHATHAM            Chatham, Massachusetts","p2376160"
"EW118","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p722252/","EW118            Wells, Maine","p722252"
"HEATED POOL, CENTRAL A/C AND PET FRIENDLY !","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-vacation-rentals/p1858765/","HEATED POOL, CENTRAL A/C AND PET FRIENDLY !            Chatham, Massachusetts","p1858765"
"ROCK HARBOR IN ORLEANS 5 BEDROOM 3.5 BATH HOME WITH POOL !","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-vacation-rentals/p80384/","ROCK HARBOR IN ORLEANS 5 BEDROOM 3.5 BATH HOME WITH POOL !            Orleans, Massachusetts","p80384"
"Quiet Neighborhood with King Bed & A/C - BR0350","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p196603/","Quiet Neighborhood with King Bed & A/C - BR0350            Brewster, Massachusetts","p196603"
"TASTEFULLY FURNISHED HARWICH VACATION HOME SLEEPS 6","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/harwich-vacation-rentals/p656594/","TASTEFULLY FURNISHED HARWICH VACATION HOME SLEEPS 6            Harwich, Massachusetts","p656594"
"EW127","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p688492/","EW127            Wells, Maine","p688492"
"Village Green A3 is an inviting condo located on Main Street, Blowing Rock","4.4 / 5.0","n/a","n/a","316","59","https://www.flipkey.com/blowing-rock-vacation-rentals/p3306/","Village Green A3 is an inviting condo located on Main Street, Blowing Rock            Blowing Rock, North Carolina","p3306"
"ORLEANS 3 BEDROOM 2 BATH VERY CLOSE TO NAUSET BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-vacation-rentals/p1060/","ORLEANS 3 BEDROOM 2 BATH VERY CLOSE TO NAUSET BEACH!            Orleans, Massachusetts","p1060"
"604 Vanderbilt","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p2508/","604 Vanderbilt            Virginia Beach, Virginia","p2508"
"Ocean Edge, Renovated, sleeps 6 with pool passes (extra fees apply) - TR0590","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1130994/","Ocean Edge, Renovated, sleeps 6 with pool passes (extra fees apply) - TR0590            Brewster, Massachusetts","p1130994"
"Affordable, Lovely 3 BR, 1 Bath, close to Kelly's Bay Pond - DE0597","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/dennis-vacation-rentals/p1370278/","Affordable, Lovely 3 BR, 1 Bath, close to Kelly's Bay Pond - DE0597            Dennis, Massachusetts","p1370278"
"217 59th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p2460/","217 59th Street            Virginia Beach, Virginia","p2460"
"8707 Atlantic Ave","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p540546/","8707 Atlantic Ave            Virginia Beach, Virginia","p540546"
"Ocean Edge - Quiet Area, 2 BR (sleeps 6) with A/C & pool access - BI0429","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p309622/","Ocean Edge - Quiet Area, 2 BR (sleeps 6) with A/C & pool access - BI0429            Brewster, Massachusetts","p309622"
"Playa Rana Unit 101","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p2448/","Playa Rana Unit 101            Virginia Beach, Virginia","p2448"
"1 Mile to Skaket Beach with King Beds & A/C - OR0365","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/orleans-vacation-rentals/p202714/","1 Mile to Skaket Beach with King Beds & A/C - OR0365            Orleans, Massachusetts","p202714"
"WATERFRONT on Lover's Lake - CM0375","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/chatham-vacation-rentals/p217285/","WATERFRONT on Lover's Lake - CM0375            Chatham, Massachusetts","p217285"
"5 Star home, views, 3 King beds, close to Harbor & Beach, Central A/C - HA0655","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/harwich-vacation-rentals/p2529860/","5 Star home, views, 3 King beds, close to Harbor & Beach, Central A/C - HA0655            Harwich, Massachusetts","p2529860"
"ELEGANT SIMPLICITY ON CHATHAM&#8217;S WHITE POND &#8211; BUDGET FRIENDLY!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-cottage-rentals/p2285520/","ELEGANT SIMPLICITY ON CHATHAM&#8217;S WHITE POND &#8211; BUDGET FRIENDLY!            Chatham, Massachusetts","p2285520"
"Close to downtown - 3 Bedroom with A/C & WiFi - HA0355","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/harwich-vacation-rentals/p196605/","Close to downtown - 3 Bedroom with A/C & WiFi - HA0355            Harwich, Massachusetts","p196605"
"Street Level 2 Bedroom at Ocean Edge with A/C - EA0167","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1535/","Street Level 2 Bedroom at Ocean Edge with A/C - EA0167            Brewster, Massachusetts","p1535"
"CHATHAM VACATION HOME ONLY 0.1 MILES TO RIDGEVALE BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/chatham-vacation-rentals/p1049/","CHATHAM VACATION HOME ONLY 0.1 MILES TO RIDGEVALE BEACH!            Chatham, Massachusetts","p1049"
"1 Mile to S.Village Beach - 3 Bedrooms with A/C, WiFi - DE0546","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/dennis-vacation-rentals/p660981/","1 Mile to S.Village Beach - 3 Bedrooms with A/C, WiFi - DE0546            Dennis, Massachusetts","p660981"
"Short Walk to Sea Street Beach, Wi Fi & A/C - DE0489","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/dennis-vacation-rentals/p927315/","Short Walk to Sea Street Beach, Wi Fi & A/C - DE0489            Dennis, Massachusetts","p927315"
"5 BEDROOM CHARMER IN SOUTH DENNIS!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/south-dennis-vacation-rentals/p2472922/","5 BEDROOM CHARMER IN SOUTH DENNIS!            South Dennis, Massachusetts","p2472922"
"RENT A BEAUTIFUL HOME CLOSE TO THE WATER ON A NIGHTLY BASIS!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/west-yarmouth-vacation-rentals/p1137247/","RENT A BEAUTIFUL HOME CLOSE TO THE WATER ON A NIGHTLY BASIS!            West Yarmouth, Massachusetts","p1137247"
"3 BEDROOM 2 BATH LESS THAN HALF MILE TO ELLIS LANDING IN BREWSTER!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p938/","3 BEDROOM 2 BATH LESS THAN HALF MILE TO ELLIS LANDING IN BREWSTER!            Brewster, Massachusetts","p938"
"Walk to Pleasant Street Beach, Renovated, Central AC, King Bed & WIFI - CM0641","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/chatham-vacation-rentals/p2385237/","Walk to Pleasant Street Beach, Renovated, Central AC, King Bed & WIFI - CM0641            Chatham, Massachusetts","p2385237"
"Near Route 6A with Central A/C - DE0105","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/dennis-vacation-rentals/p1564/","Near Route 6A with Central A/C - DE0105            Dennis, Massachusetts","p1564"
"Dog Friendly 4 BR, 2 Bath with A/C & WiFi - HA0228","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/harwich-vacation-rentals/p55965/","Dog Friendly 4 BR, 2 Bath with A/C & WiFi - HA0228            Harwich, Massachusetts","p55965"
"NE46 109","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-cottage-rentals/p540573/","NE46 109            Virginia Beach, Virginia","p540573"
"119 78th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p2424/","119 78th Street            Virginia Beach, Virginia","p2424"
"Ocean Front with Beach & Ocean Views - DE0491","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/dennis-vacation-rentals/p441153/","Ocean Front with Beach & Ocean Views - DE0491            Dennis, Massachusetts","p441153"
"GREAT 2 BEDROOM OCEAN EDGE RESORT CONDO! VERY AFFORDABLE!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-condo-rentals/p771558/","GREAT 2 BEDROOM OCEAN EDGE RESORT CONDO! VERY AFFORDABLE!            Brewster, Massachusetts","p771558"
"IMMACULATE OVERSIZED CAPE WITH POOL!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/harwich-vacation-rentals/p1799741/","IMMACULATE OVERSIZED CAPE WITH POOL!            Harwich, Massachusetts","p1799741"
"Northside Dennis,, 3 BR, 2 Bath, close to Golf & Village - DE0596","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/dennis-vacation-rentals/p1882174/","Northside Dennis,, 3 BR, 2 Bath, close to Golf & Village - DE0596            Dennis, Massachusetts","p1882174"
"Beautiful Cape Cod Compound Walk to Beach - HA0404","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/harwich-vacation-rentals/p291636/","Beautiful Cape Cod Compound Walk to Beach - HA0404            Harwich, Massachusetts","p291636"
"**********","3.0 / 5.0","n/a","n/a","3","14","https://www.flipkey.com/kissimmee-vacation-rentals/p353661/","**********            Kissimmee, Florida","p353661"
"ORLEANS LAKEFRONT SLEEPS 6 AND KAYAKS ARE INCLUDED!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-condo-rentals/p900/","ORLEANS LAKEFRONT SLEEPS 6 AND KAYAKS ARE INCLUDED!            Orleans, Massachusetts","p900"
"Ocean Edge: Renovated, 3 A/C's & Pool (fees apply) - BI0517","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p524209/","Ocean Edge: Renovated, 3 A/C's & Pool (fees apply) - BI0517            Brewster, Massachusetts","p524209"
"Collins Creek House","4.7 / 5.0","90%","A few hours","252","83","https://www.flipkey.com/pawleys-island-vacation-rentals/p1757158/","Collins Creek House            Pawleys Island, South Carolina","p1757158"
"CAPE STYLE 4 BEDROOM 2.5 BATH EASTHAM VACATION HOME!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-vacation-rentals/p512559/","CAPE STYLE 4 BEDROOM 2.5 BATH EASTHAM VACATION HOME!            Eastham, Massachusetts","p512559"
"Ocean Edge - Street Level with 1 A/C & WiFi - FL0617","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1882190/","Ocean Edge - Street Level with 1 A/C & WiFi - FL0617            Brewster, Massachusetts","p1882190"
"Ocean Edge Lovely Patio Style with A/C & Pool (fees apply) - SU0053","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1502/","Ocean Edge Lovely Patio Style with A/C & Pool (fees apply) - SU0053            Brewster, Massachusetts","p1502"
"THE PERFECT TRIFECTA OF LOCATION, MODERN AMENITIES, AND COMFORT!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-vacation-rentals/p2328895/","THE PERFECT TRIFECTA OF LOCATION, MODERN AMENITIES, AND COMFORT!            Orleans, Massachusetts","p2328895"
"GREAT VALUE FOR 8 GUESTS! WALK TO BAY BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p2295975/","GREAT VALUE FOR 8 GUESTS! WALK TO BAY BEACH!            Brewster, Massachusetts","p2295975"
"Ocean Edge Townhouse with King Bed, A/C & Pool (fees apply) - HO0299","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p129646/","Ocean Edge Townhouse with King Bed, A/C & Pool (fees apply) - HO0299            Brewster, Massachusetts","p129646"
"Inlet Point 13B - Oceanfront","4.7 / 5.0","90%","A few hours","252","83","https://www.flipkey.com/pawleys-island-vacation-rentals/p65672/","Inlet Point 13B - Oceanfront            Pawleys Island, South Carolina","p65672"
"Short Walk to Swimming Pond with A/C - HA0372","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/harwich-vacation-rentals/p212693/","Short Walk to Swimming Pond with A/C - HA0372            Harwich, Massachusetts","p212693"
"PRETTY DETACHED HOME IN BREWSTER'S RENOWN OCEAN EDGE LUXURY RESORT!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p1642065/","PRETTY DETACHED HOME IN BREWSTER'S RENOWN OCEAN EDGE LUXURY RESORT!            Brewster, Massachusetts","p1642065"
"BEST PRICE AT OCEAN EDGE RESORT !!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-condo-rentals/p1956891/","BEST PRICE AT OCEAN EDGE RESORT !!            Brewster, Massachusetts","p1956891"
"Higher Ground easy paved access, minutes from Main Street Blowing Rock","4.4 / 5.0","n/a","n/a","316","59","https://www.flipkey.com/blowing-rock-vacation-rentals/p3307/","Higher Ground easy paved access, minutes from Main Street Blowing Rock            Blowing Rock, North Carolina","p3307"
"Stunning Waterfront home on Cape Cod Bay!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/truro-vacation-rentals/p984730/","Stunning Waterfront home on Cape Cod Bay!            Truro, Massachusetts","p984730"
"Ocean Edge Affordable with A/C - EA0485","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p420265/","Ocean Edge Affordable with A/C - EA0485            Brewster, Massachusetts","p420265"
"Designer's Dog Friendly Home on Sheep Pond - BR0353","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p196604/","Designer's Dog Friendly Home on Sheep Pond - BR0353            Brewster, Massachusetts","p196604"
"Ocean Edge Street Level with Pool (fees apply) - CH0537","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p629317/","Ocean Edge Street Level with Pool (fees apply) - CH0537            Brewster, Massachusetts","p629317"
"EAST ORLEANS HOME SLEEPS 6 - ONLY 1 MILE TO NAUSET BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-vacation-rentals/p1140493/","EAST ORLEANS HOME SLEEPS 6 - ONLY 1 MILE TO NAUSET BEACH!            Orleans, Massachusetts","p1140493"
"EW126","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p645822/","EW126            Wells, Maine","p645822"
"TRURO CLASSIC CAPE COD BEACH STYLE HOME ON THE BLUFF ABOVE CAPE COD BAY!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/truro-vacation-rentals/p490415/","TRURO CLASSIC CAPE COD BEACH STYLE HOME ON THE BLUFF ABOVE CAPE COD BAY!            Truro, Massachusetts","p490415"
"TRURO STUNNING WATERVIEW 3 STORY VACATION HOME WITH PRIVATE BEACH!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/truro-vacation-rentals/p490414/","TRURO STUNNING WATERVIEW 3 STORY VACATION HOME WITH PRIVATE BEACH!            Truro, Massachusetts","p490414"
"Ocean Edge Townhouse with A/C & Pool (fees apply) - HO0030","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1512/","Ocean Edge Townhouse with A/C & Pool (fees apply) - HO0030            Brewster, Massachusetts","p1512"
"EASTHAM NEAR COOKSBROOK BEACH ON CAPE COD BAY WITH CENTRAL A/C !","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/eastham-vacation-rentals/p446069/","EASTHAM NEAR COOKSBROOK BEACH ON CAPE COD BAY WITH CENTRAL A/C !            Eastham, Massachusetts","p446069"
"516 Surfside Avenue - Awesome Croatan Beach Home","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p540578/","516 Surfside Avenue - Awesome Croatan Beach Home            Virginia Beach, Virginia","p540578"
"SLEEPS 8 WITH ACCESS TO OCEAN EDGE RESORT PRIVILEGES !","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p2404278/","SLEEPS 8 WITH ACCESS TO OCEAN EDGE RESORT PRIVILEGES !            Brewster, Massachusetts","p2404278"
"IDYLLIC RETREAT NEAR NICKERSON PARK AND PONDS!  PET FRIENDLY!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p2462728/","IDYLLIC RETREAT NEAR NICKERSON PARK AND PONDS!  PET FRIENDLY!            Brewster, Massachusetts","p2462728"
"1306 Dolphin Run","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540513/","1306 Dolphin Run            Virginia Beach, Virginia","p540513"
"Fully air-conditioned Trevor home with Pool (fees apply) - TR0654","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p2559506/","Fully air-conditioned Trevor home with Pool (fees apply) - TR0654            Brewster, Massachusetts","p2559506"
"Bayside unit close to beach with King Bed, Central A/C, Pool & Tennis - BP0563","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p940216/","Bayside unit close to beach with King Bed, Central A/C, Pool & Tennis - BP0563            Brewster, Massachusetts","p940216"
"**********","3.0 / 5.0","n/a","n/a","3","14","https://www.flipkey.com/kissimmee-vacation-rentals/p353666/","**********            Kissimmee, Florida","p353666"
"BEAUTIFULLY DESIGNED 2 BEDROOM PLUS LOFT , 2 BATH UNIT AT OCEAN EDGE RESORT","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p1698149/","BEAUTIFULLY DESIGNED 2 BEDROOM PLUS LOFT , 2 BATH UNIT AT OCEAN EDGE RESORT            Brewster, Massachusetts","p1698149"
"RA15 609 - Endless SUmmer","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-cottage-rentals/p1919407/","RA15 609 - Endless SUmmer            Virginia Beach, Virginia","p1919407"
"SLEEPS 6 AT OCEAN EDGE RESORT WITH GOLF, POOL & TENNIS!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-condo-rentals/p747306/","SLEEPS 6 AT OCEAN EDGE RESORT WITH GOLF, POOL & TENNIS!            Brewster, Massachusetts","p747306"
"Patio Style, End Unit, Central A/C, 4 Pool Passes (Fees Apply) - AL0648","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p2452952/","Patio Style, End Unit, Central A/C, 4 Pool Passes (Fees Apply) - AL0648            Brewster, Massachusetts","p2452952"
"Ocean Edge Townhouse Straight Staircase, 2 ACs, & 6 Pool Passes (Fees Apply","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p742126/","Ocean Edge Townhouse Straight Staircase, 2 ACs, & 6 Pool Passes (Fees Apply            Brewster, Massachusetts","p742126"
"WONDERFUL CAPE STYLE BREWSTER HOME WITH 3 BEDROOMS AND 2.5 BATHS","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p381244/","WONDERFUL CAPE STYLE BREWSTER HOME WITH 3 BEDROOMS AND 2.5 BATHS            Brewster, Massachusetts","p381244"
"ORLEANS 4 BEDROOM 2 BATH CLOSE TO SKAKET BEACH AND THE BIKE TRAIL!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/orleans-vacation-rentals/p490416/","ORLEANS 4 BEDROOM 2 BATH CLOSE TO SKAKET BEACH AND THE BIKE TRAIL!            Orleans, Massachusetts","p490416"
"The Osprey","4.7 / 5.0","90%","A few hours","252","83","https://www.flipkey.com/pawleys-island-vacation-rentals/p4572/","The Osprey            Pawleys Island, South Carolina","p4572"
"317 22nd Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p59638/","317 22nd Street            Virginia Beach, Virginia","p59638"
"WELLFLEET'S CAPE COD CHARM!","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/wellfleet-vacation-rentals/p925/","WELLFLEET'S CAPE COD CHARM!            Wellfleet, Massachusetts","p925"
"Ocean Edge -Billlington - 2 A/C's, Wi-Fi & Pool Passes (fees apply) - BI0603","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p1478489/","Ocean Edge -Billlington - 2 A/C's, Wi-Fi & Pool Passes (fees apply) - BI0603            Brewster, Massachusetts","p1478489"
"Ocean Edge Townhouse with King Bed & Pool (fees apply) - HO0451","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p333770/","Ocean Edge Townhouse with King Bed & Pool (fees apply) - HO0451            Brewster, Massachusetts","p333770"
"113 A 82nd Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-cottage-rentals/p540585/","113 A 82nd Street            Virginia Beach, Virginia","p540585"
"Private Serene setting with 3 A/C's - BR0393","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p252500/","Private Serene setting with 3 A/C's - BR0393            Brewster, Massachusetts","p252500"
"Bishops Ridge is an upscale 3 bedroom duplex with a mountain view.","4.4 / 5.0","n/a","n/a","316","59","https://www.flipkey.com/blowing-rock-vacation-rentals/p1636067/","Bishops Ridge is an upscale 3 bedroom duplex with a mountain view.            Blowing Rock, North Carolina","p1636067"
"501 23rd Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-vacation-rentals/p540593/","501 23rd Street            Virginia Beach, Virginia","p540593"
"213 16th Street","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540499/","213 16th Street            Virginia Beach, Virginia","p540499"
"304 Dolphin Run - OCEANFRONT CONDO w/ POOL","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p1919398/","304 Dolphin Run - OCEANFRONT CONDO w/ POOL            Virginia Beach, Virginia","p1919398"
"Ocean Edge - Remodeled, King Bed, 3 A/C's & Pool (fees apply) - BI0647","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-condo-rentals/p2431619/","Ocean Edge - Remodeled, King Bed, 3 A/C's & Pool (fees apply) - BI0647            Brewster, Massachusetts","p2431619"
"Playa Rana Unit #312","3.2 / 5.0","100%","Within a day","15","93","https://www.flipkey.com/virginia-beach-condo-rentals/p540506/","Playa Rana Unit #312            Virginia Beach, Virginia","p540506"
"*********","3.0 / 5.0","n/a","n/a","3","14","https://www.flipkey.com/kissimmee-vacation-rentals/p353668/","*********            Kissimmee, Florida","p353668"
"BEAUTIFUL TOWNHOUSE ON THE BAYSIDE OF OCEAN EDGE RESORT","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/brewster-vacation-rentals/p1891444/","BEAUTIFUL TOWNHOUSE ON THE BAYSIDE OF OCEAN EDGE RESORT            Brewster, Massachusetts","p1891444"
